Cidade,date,SO2,NO2,O3,CO,PM2.5,PM10,rh_sensor
Rio Branco do Sul,2024-01-11T16:00:00Z,20.256966666666667,60.562633333333324,0,0.040249999999999994,0.8091666666666667,6.74,45.43416666666667
Rio Branco do Sul,2024-01-11T17:00:00Z,0.8427666666666667,55.34876666666666,0,0.002875,0.88,11.840833333333334,42.071666666666665
Rio Branco do Sul,2024-01-11T18:00:00Z,0,48.02616666666667,0,9.583333333333333e-4,0.6741666666666667,7.175833333333333,40.108333333333334
Rio Branco do Sul,2024-01-11T19:00:00Z,21.490550000000002,51.454033333333335,0.7366333333333334,0.05175,0.9008333333333334,10.180833333333334,39.09166666666667
Rio Branco do Sul,2024-01-11T20:00:00Z,35.267383333333335,70.2462,0.11596666666666666,0.15141666666666664,0.8575,8.8925,40.994166666666665
Rio Branco do Sul,2024-01-11T21:00:00Z,252.17738181818183,143.09021818181816,0,0.4558181818181818,5.443636363636363,66.33454545454545,47.71727272727273
Rio Branco do Sul,2024-01-11T22:00:00Z,228.33955000000003,137.9967,0,0.22041666666666668,1.8516666666666666,15.346666666666668,58.714166666666664
Rio Branco do Sul,2024-01-11T23:00:00Z,150.2351666666667,121.35399999999998,0,0.23095833333333332,1.6633333333333333,8.865833333333333,67.6325
Rio Branco do Sul,2024-01-12T00:00:00Z,36.54245,83.99526666666667,0,0.09008333333333333,1.3583333333333334,7.855,67.54583333333333
Rio Branco do Sul,2024-01-12T01:00:00Z,10.56515,75.3128,0,0.037375,1.9633333333333334,11.524166666666666,67.11
Rio Branco do Sul,2024-01-12T02:00:00Z,2.11565,74.83496666666666,0,0.007666666666666666,2.155,13.680833333333334,67.04916666666666
Rio Branco do Sul,2024-01-12T03:00:00Z,0,71.07183333333333,0,0,1.3258333333333332,5.918333333333333,67.21583333333334
Rio Branco do Sul,2024-01-12T04:00:00Z,0.5414666666666667,67.93379999999999,0,0,2.1658333333333335,12.558333333333334,66.14833333333334
Rio Branco do Sul,2024-01-12T05:00:00Z,7.266133333333334,73.51113333333333,0,0,1.2408333333333332,7.933333333333334,65.40916666666666
Rio Branco do Sul,2024-01-12T06:00:00Z,7.05435,75.93633333333332,0,0,2.5966666666666667,23.71,65.3875
