Cidade,sample_day,SO2,NO2,O3,CO,PM10,PM2.5,AQI_SO2,AQI_NO2,AQI_O3,AQI_CO,AQI_PM25,AQI_PM10,AQI,AQI_Qualidade
Almirante Tamandaré,2023-09-19,130.02555555555557,47.17444444444445,31.22200126262626,0.28601957070707074,34.16370265151515,7.2362257996633,125,45,29,3,40,32,125,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-20,101.58833333333334,32.98833333333334,33.20552083333333,0.2015151515151515,13.619409722222223,2.856284722222222,113,31,31,2,16,13,113,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-21,112.09583333333333,35.40416666666667,33.317083333333336,0.16260416666666666,19.186792929292928,4.076455176767677,117,33,31,2,23,18,117,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-22,142.56583333333333,43.11666666666667,25.8975,0.4121875,39.09245833333333,6.425013888888889,131,41,24,5,36,36,131,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-23,146.71333333333334,46.766666666666666,34.619791666666664,0.22260416666666666,28.520168981481483,5.880483796296296,133,44,32,3,33,26,133,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-24,146.446,57.557,32.950625,0.32606250000000003,32.514727002164506,5.955541576479076,133,55,31,4,33,30,133,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-25,91.2025,27.110833333333332,33.405,0.225,11.420214646464647,2.956306818181818,108,26,31,3,16,11,108,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-26,68.54416666666667,29.180833333333332,17.997708333333332,0.17014204545454545,11.92576388888889,2.9278125,92,28,17,2,16,11,92,Moderada
Almirante Tamandaré,2023-09-27,68.04818181818182,38.86,25.672708333333333,0.43547348484848486,23.055662878787878,5.102888257575757,91,37,24,5,28,21,91,Moderada
Almirante Tamandaré,2023-09-28,99.34333333333333,34.475833333333334,26.81427083333333,0.283125,8.365779671717172,1.2901357323232323,111,33,25,3,7,8,111,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-29,10.989166666666666,13.8225,20.899375,0.02683712121212121,6.580798611111111,1.3118750000000001,16,13,19,0,7,6,19,Boa
Almirante Tamandaré,2023-09-30,16.16583333333333,15.318333333333333,15.964583333333334,0.043125000000000004,10.91423611111111,2.226423611111111,23,14,15,0,12,10,23,Boa
Almirante Tamandaré,2023-10-01,22.11,16.8875,12.486979166666666,0.2554166666666667,33.22001893939394,2.8447064393939394,32,16,12,3,16,31,32,Boa
Almirante Tamandaré,2023-10-02,41.69416666666667,21.35333333333333,17.168229166666666,0.0665435606060606,7.978661616161617,1.9833838383838382,58,20,16,1,11,7,58,Moderada
Almirante Tamandaré,2023-10-03,35.9625,22.671666666666667,11.833854166666667,0.13864583333333333,13.205625,3.3904513888888888,51,21,11,2,19,12,51,Moderada
Almirante Tamandaré,2023-10-04,92.70333333333333,42.3275,20.99395833333333,0.47760416666666666,24.558854166666666,6.5953125,109,40,19,5,37,23,109,Ruim para grupos sensíveis
